name,website,investor_count,funding_count,funding_total,funding_last_type,funding_last,funding_last_date,valuation,valuation_date,revenue_year,revenue_total
Relevance AI,https://relevance.ai,7,5,13M,Incubator/Accelerator,,"September 17, 2024",,,,
Hackajob,https://hackajob.co,11,5,32M,Series B,25M,"May 3, 2023",,,,
Convious,https://convious.com,8,4,25.18M,Series A - II,9M,"October 13, 2023",,,,
Unified,https://unified.to,9,6,920K,Convertible Note,0.8M,"October 7, 2024",,,,
City Transformer,https://citytransformer.com,1,1,10M,Series A,10M,"May 24, 2022",,,,
Ritual,https://ritual.com,8,4,40.3M,Series B,25M,"February 5, 2019",,,,
KaiPod Learning,https://kaipodlearning.com,5,3,1.74M,Angel,0.11M,"November 30, 2022",,,,
Fox Robotics,https://foxrobotics.com,13,4,48.1M,Corporate Minority,,"April 11, 2024",,,,
Interlune,https://interlune.space,8,5,18.22M,Grant - III,0.37M,"October 3, 2024",,,,
TMRW Sports,https://tmrwsportsgroup.com,73,7,14.7M,Series A,,"June 24, 2024",,,,
Spatial,https://spatial.ai,7,3,2.22M,Seed VC,2.1M,"December 5, 2016",,,,
Deep North,https://deepnorth.co.uk,1,,,Loan,,"February 27, 2024",,,,
Evabot,https://evabot.com,9,5,11.13M,Series A,8.33M,"July 28, 2022",,,,
One More Game,https://onemoregame.com,5,2,27.67M,Series A,22M,"April 19, 2022",,,,
Preply,https://preply.com,32,9,170.44M,Debt,28M,"July 19, 2023",$400M,March 2022,,
Zero Networks,https://zeronetworks.com,11,5,44.95M,Series B,20M,"December 13, 2023",$100M,February 2022,,
B12,https://b12.io,9,2,28.1M,Series B,15.7M,"March 19, 2020",,,,
Atsena Therapeutics,https://atsenatx.com,8,2,79.5M,Series B,24.5M,"October 4, 2023",,,,
Darrow,https://darrow.ai,6,5,77.2M,Series B - II,35M,"September 19, 2023",,,,
TreetoScope,https://treetoscope.com,15,4,7M,Seed VC - II,7M,"September 18, 2023",,,,
Edgecortix,https://edgecortix.com,7,3,33M,Series B,20M,"October 4, 2023",,,,
BlueSemi,https://bluesemi.io,1,1,69M,Private Equity,69M,"October 28, 2021",,,,
dbt Labs,https://getdbt.com,12,5,415.9M,Series D,222M,"February 24, 2022","$1,500M",June 2021,2019,1M
proteanTecs,https://proteantecs.com,17,6,190M,Incubator/Accelerator,,"March 7, 2023",,,,
Darmiyan,https://darmiyan.com,11,8,10.01M,Series A,3.54M,"October 17, 2023",$10M,October 2017,,
Geomiq,https://geomiq.com,8,3,13.41M,Series A - II,0.93M,"January 12, 2023",,,,
Coinsquare,https://coinsquare.com,4,6,100M,Merger,,"July 10, 2023",$282M,February 2021,,
MedArrive,https://medarrive.com,9,5,37.5M,Series A - II,8M,"April 12, 2023",,,,
LawVu,https://lawvu.com,5,5,39.91M,Series B,8.9M,"September 21, 2023",,,,
MioTech,https://miotech.com,9,9,7M,Series C,,"January 26, 2024",,,,
Section4,https://section4.com,7,3,37M,Series A,30M,"March 4, 2021",,,,
Elevian,https://elevian.com,14,6,64.85M,Series A,40M,"September 16, 2021",,,,
Sensibo,https://sensibo.com,4,4,2.86M,Seed VC,2.6M,"September 13, 2016",,,,
Misfits Market,https://misfitsmarket.com,10,5,526.5M,Series C - II,225M,"September 14, 2021","$1,100M",April 2021,,
VIPKid,https://vipkid.com.cn,11,8,975.49M,Series E,150M,"September 19, 2019","$3,000M",June 2018,2017,750M
Haus,https://haus-app.com,2,2,50K,Incubator/Accelerator,,"November 16, 2017",,,,
Pharmacierge,https://pharmacierge.com,2,2,4.71M,Angel - II,2.99M,"April 20, 2023",,,,
Transit,https://,1,,,Seed,,"August 10, 2020",,,,
Vizgen,https://vizgen.com,8,3,136.2M,Series C,85.2M,"May 5, 2022",,,,
Tenchi Security,https://tenchisecurity.com,8,3,10.3M,Series A,7M,"February 1, 2024",,,,
Darwinium,https://darwinium.com,6,4,28.55M,Series A,18M,"October 10, 2023",,,,
Chime,https://chimewith.us,1,,,Other Investors,,,,,,
Ladder,https://joinladder.com,6,3,18.5M,Series A,12M,"December 6, 2023",,,,
Elliptic,https://elliptic.co,14,8,99.13M,Series C,60M,"October 11, 2021",,,2019,3.17M
Syrup Tech,https://syrup.tech,9,6,23.8M,Series A,17.5M,"December 1, 2023",$35M,July 2022,,
Minka,https://myminka.com,1,,,Other Investors,,,,,,
Agicap,https://agicap.com,4,3,118.97M,Series B,100M,"May 27, 2021",,,,
Lifebit,https://lifebit.com,1,,,Seed VC,,"February 6, 2013",,,,
Durable,https://,1,1,2M,Seed VC,2M,"June 14, 2022",,,,
Notch,https://wearnotch.com,2,3,20K,Incubator/Accelerator,,"May 23, 2022",,,,
Calm,https://thecalmdevice.com,1,,,Other Investors,,,,,,
Mad Mobile,https://madmobile.com,5,4,71.5M,Debt,50M,"June 11, 2024",,,,
Coreshell Technologies,https://coreshell.com,16,10,17.65M,Unattributed VC,,"March 27, 2024",,,,
Sword Health,https://swordhealth.com,20,13,352.16M,Secondary Market,100M,"June 4, 2024","$3,000M",June 2024,2020,2M
Scribe,https://scribesoft.com,3,4,4M,Acquired,,"June 6, 2018",,,,
Gynger,https://gynger.io,10,4,41.7M,Series A,20M,"June 20, 2024",,,,
Omni Creator Products,https://ocp.gg,4,2,20.55M,Series A,16.25M,"June 6, 2022",,,,
Peddlr,https://peddlr.io,19,2,4.8M,Seed VC - II,4.3M,"February 8, 2022",,,,
Appcues,https://appcues.com,20,7,55.05M,Debt,7M,"February 3, 2022",$300M,January 2022,,
Nawy,https://nawy.com,4,4,5M,Series A,,"July 7, 2023",,,,
Evercloak,https://evercloak.com,10,6,2.67M,Grant - II,0.35M,"July 16, 2024",,,,
Doccla,https://doccla.com,8,4,70.98M,Series B,45.95M,"September 2, 2024",,,,
Educative,https://educative.io,8,5,14.97M,Series A,12M,"May 19, 2021",,,2017,500K
Jomboy Media,https://jomboymedia.com,16,2,6M,Seed VC,5M,"May 5, 2022",,,,
weka,https://weka-holzbau.com,1,,,Acquired,,"October 20, 2018",,,,
Dizzion,https://dizzion.com,7,7,19.12M,Private Equity,,"January 5, 2021",,,,
Everstream Analytics,https://everstream.ai,7,4,74M,Series B,50M,"April 4, 2023",,,,
Populix,https://populix.co,9,5,11.7M,Incubator/Accelerator,,"July 28, 2022",,,,
MakerSights,https://makersights.com,14,5,37.28M,Series B,25M,"August 4, 2021",,,,
Open Payments,https://openpayments.io,7,4,9.06M,Seed VC - IV,3.26M,"March 29, 2023",,,,
Thalamus,https://thalamus.co,1,,,Acquired,,"November 9, 2020",,,,
Cyera,https://cyera.io,22,3,460M,Series C,300M,"April 9, 2024",$500M,June 2023,,
Albert,https://albert.com,16,10,170M,Series C,100M,"January 26, 2021",,,,
Caresyntax,https://caresyntax.com,28,11,302.5M,Debt - II,,"August 15, 2024",,,,
Evreka,https://evreka.co,12,5,2.94M,Series A - II,,"May 24, 2024",,,,
Kiva Confections,https://kivaconfections.com,,3,27.36M,Debt - II,12.3M,"August 2, 2019",,,,
Nectin Therapeutics,https://nectintx.com,9,8,46.4M,Series B - II,10M,"May 6, 2024",,,,
SidelineSwap,https://sidelineswap.com,18,11,22.04M,Series A - IV,3.41M,"May 4, 2023",,,,
Ecobean,https://ecobean.pl,8,5,2.3M,Incubator/Accelerator - II,,"May 24, 2024",,,,
Copado,https://copado.com,10,6,276.05M,Series C,140M,"September 13, 2021",$400M,February 2021,2021,40M
RBC Signals,https://rbcsignals.com,9,3,1.5M,Incubator/Accelerator,,"November 19, 2020",,,,
Instrumental,https://instrumental.com,6,4,80M,Series C,50M,"February 17, 2022",,,,
Tazah Technologies,https://tazahtech.com,23,2,6.5M,Seed VC - II,4.5M,"December 22, 2021",,,,
Julaya,https://julaya.co,14,4,7.55M,Seed VC - II,5M,"September 21, 2022",,,,
Hammock,https://usehammock.com,7,5,6.81M,Corporate Minority,,"March 20, 2023",,,,
Grab Financial Group,https://grab.com/sg/grab-financial-group,8,3,306.37M,Series B,6.37M,"May 17, 2021",,,,
BRYTER,https://bryter.com,11,3,88M,Series B,66M,"April 7, 2021",,,,
PatPat,https://patpat.com,12,7,717.82M,Series D - II,160M,"August 17, 2021",$227M,April 2018,,
deepwatch,https://deepwatch.com,5,3,256M,Series C,180M,"February 15, 2023",,,,
Puffer Finance,https://puffer.fi,27,4,6.15M,Seed VC - II,,"January 30, 2024",,,,
Aligned,https://aligned.co,9,1,34M,Series A,34M,"February 24, 2022",,,,
NIRAMAI,https://niramai.com,16,11,7M,Incubator/Accelerator - VII,,"June 6, 2024",,,,
Retrocausal,https://retrocausal.ai,13,4,8.82M,Seed VC - II,5.3M,"November 30, 2023",,,,
Furhat Robotics,https://furhatrobotics.com,5,5,7.1M,Incubator/Accelerator,,"September 15, 2022",,,,
Contentsquare,https://contentsquare.com,19,9,1.412B,Incubator/Accelerator,,"June 1, 2023","$5,600M",July 2022,,
Sensei,https://sensei.tech,12,7,7.38M,Incubator/Accelerator - III,,"January 11, 2022",,,,
Torii,https://toriihq.com,6,3,63.5M,Series B,50M,"February 2, 2022",,,,
Vivid,https://hellovivid.com,1,,,Other Investors,,,,,,
BayaniPay,https://bayanipay.com,7,3,9.6M,Series A,3M,"June 13, 2024",,,,
Scailyte,https://scailyte.com,12,12,13.16M,Series A - III,,"December 4, 2023",$18.22M,September 2022,,
Lightning Labs,https://lightning.engineering,31,5,82.5M,Series B,70M,"April 5, 2022",,,,
beek,https://beekshop.com,,3,1.8M,Unattributed - III,0.6M,"December 20, 2018",,,,
Opal,https://skindroid.org,1,1,20K,Seed,0.02M,"December 3, 2015",,,,
Calendly,https://calendly.com,4,3,350.55M,Series B,350M,"January 26, 2021",,,,
OneOrder,https://oneorder.net,5,5,26.5M,Debt,16M,"May 23, 2024",,,,
BillionToOne,https://billiontoone.com,23,13,563.64M,Debt,140M,"September 4, 2024","$1,000M",June 2024,,
SustainCERT,https://sustain-cert.com,7,3,47M,Series B,37M,"June 7, 2023",,,,
Emma,https://myemma.com,3,2,5M,Acquired,,"June 21, 2018",,,,
HOMMA,https://hom.ma,43,10,29.16M,Incubator/Accelerator - II,,"April 6, 2023",,,,
Carro,https://carro.co,33,12,740.02M,Loan,55.5M,"June 20, 2024","$1,000M",June 2021,2021,300M
Virtuoso,https://,1,,,Incubator/Accelerator,,"May 16, 2018",,,,
illumex,https://illumex.ai,10,3,13M,Seed VC - II,13M,"June 25, 2024",,,,
Shield AI,https://shield.ai,14,16,1.071B,Debt - III,200M,"December 29, 2023","$2,800M",December 2023,,
SpinDrive,https://spindrive.fi,6,5,8.61M,Grant,2.7M,"February 29, 2024",,,,
Pointivo,https://pointivo.com,8,6,9.06M,Loan,0.68M,"April 28, 2020",,,,
BeatO,https://beatoapp.com,15,8,50.77M,Series B,33M,"November 16, 2022",,,,
Fresh Bus,https://freshbus.com,8,3,14.55M,Series A,10.5M,"July 18, 2024",,,,
Doctolib,https://doctolib.com,12,8,815.98M,Debt,549M,"March 15, 2022","$6,400M",March 2022,,
Arctoris,https://arctoris.com,11,6,6.2M,Incubator/Accelerator - III,,"October 5, 2022",,,,
buk,https://buk.io,2,,,Acquired,,"May 10, 2022",,,,
Halp,https://halp.co,13,2,4M,Seed VC,4M,"October 5, 2022",,,,
Pretzel Therapeutics,https://pretzeltx.com,11,1,72.5M,Series A,72.5M,"September 12, 2022",,,,
Lightforge Games,https://lightforge.gg,12,2,20M,Series A,15M,"February 16, 2022",,,,
Rondo Energy,https://rondo.energy,11,4,82M,Series B - II,,"June 19, 2024",,,,
Medium,https://medium.com,16,6,163M,Unattributed VC,31M,"November 19, 2021",$600M,April 2016,,
Mawingu Networks,https://mawingu.co,5,4,13.1M,Acq - Fin,,"October 14, 2023",,,,
YieldStreet,https://yieldstreet.com,17,9,378.5M,Line of Credit - II,,"August 10, 2022","$1,050M",June 2021,,
Georgiamune,https://georgiamune.com,7,1,75M,Series A,75M,"August 9, 2023",,,,
SkillCycle,https://skillcycle.com,2,,,Seed VC,,"April 5, 2023",,,,
Genie,https://genie.cooking,2,1,10M,Series A,10M,"April 4, 2018",,,,
Sequin,https://sequincard.com,12,4,5.83M,Seed VC - II,5M,"September 15, 2021",,,,
Sesame,https://sesameorder.com,3,1,3.4M,Seed VC,3.4M,"December 17, 2021",,,,
AI Insurance,https://aiinsurance.io,3,2,3.45M,Seed,0.15M,"March 15, 2019",,,,
Imprint Social,https://imprint-social.com,1,,,Corporate Minority,,"July 3, 2019",,,,
Understory,https://understoryweather.com,14,13,64.39M,Unattributed VC - II,15M,"December 6, 2023",,,,
Apollo Group,https://apollo.it,1,,,Acquired,,"October 12, 2016",,,,
GRVT,https://grvt.io,16,4,9.3M,Seed VC - II,2.2M,"March 19, 2024",$39M,August 2023,,
Starfish Space,https://starfishspace.com,17,12,45.5M,Series B,21M,"September 27, 2024",,,,
CardFlight,https://cardflight.com,15,12,7.63M,Series A - IV,,"August 21, 2018",,,,
PHINXT Robotics,https://phinxt.com,10,3,3.29M,Seed VC,2.55M,"August 6, 2024",,,,
LatticeFlow,https://latticeflow.ai,6,3,14.8M,Series A,12M,"October 26, 2022",,,,
Loyal,https://loyalfordogs.com,15,7,94.81M,Line of Credit,12.5M,"March 21, 2024",,,,
Preimage,https://preimage.ai,6,2,2.05M,Seed VC,1.7M,"September 29, 2022",,,,
Lumachain,https://lumachain.io,3,3,21.9M,Series A - II,,"October 15, 2024",,,,
Colu,https://colu.com,8,6,42.1M,Acquired,,"July 25, 2024",,,,
Trint,https://trint.com,12,6,10.2M,Series A - III,2.6M,"December 1, 2020",,,,
UltraSense Systems,https://ultrasensesys.com,6,2,23.42M,Series B,20M,"February 18, 2020",,,,
NoMad Data,https://nomad-data.com,11,3,6.3M,Seed VC - II,3.2M,"December 15, 2022",,,,
9T Labs,https://9tlabs.com,13,7,21.88M,Series A,17M,"February 22, 2022",,,,
Virgil Security,https://virgilsecurity.com,15,6,5.66M,Bridge,1M,"May 16, 2019",,,,
TaTiO,https://tatio.io,7,2,5.42M,Seed VC,5.3M,"October 13, 2022",,,,
Flume,https://flumewater.com,5,4,9.56M,Private Equity,,"June 7, 2023",,,,
Greenly,https://greenly.id,1,,,Seed VC,,"February 12, 2020",,,,
RASA,https://rasagrill.com,1,2,1.31M,Series A,,"March 9, 2022",,,,
Alaan,https://alaanpay.com,9,3,7M,Seed VC - III,4.5M,"January 16, 2023",,,,
Pinwheel,https://pinwheelapi.com,15,4,77M,Incubator/Accelerator,,"March 29, 2023",$500M,January 2022,,
CrowdStreet,https://crowdstreet.com,10,10,67.43M,Debt - II,43M,"October 10, 2022",,,,
Betterfly,https://,4,5,2.5M,Acquired,,"February 6, 2014",,,,
FUSE Autotech,https://fuseautotech.com,4,1,10M,Series A,10M,"August 12, 2021",,,,
InSoundz,https://insoundz.com,4,3,5M,Convertible Note,5M,"June 4, 2024",,,,
Arise,https://arise.com,3,,,Acq - Fin - II,,"December 11, 2019",,,,
HopSkipDrive,https://hopskipdrive.com,18,7,105.5M,Series D,37M,"September 13, 2022",,,,
vFunction,https://vfunction.com,9,4,38.2M,Series A - II,,"February 22, 2022",,,,
kiwi,https://egas-energy.com,1,,,Acquired,,"December 11, 2023",,,,
BillGO,https://billgo.com,7,7,143.53M,Option/Warrant,2.5M,"January 16, 2024",,,,
Roll,https://rollhq.com,1,1,20K,Seed,0.02M,"March 7, 2015",,,,
Micruity,https://micruity.com,14,6,14.24M,Series A,5M,"June 25, 2024",,,,
Deepnote,https://deepnote.com,10,2,23.8M,Series A,20M,"January 31, 2022",,,,
KONUX,https://konux.com,18,9,135.76M,Series C - II,6.11M,"February 25, 2021",,,,
kubit,https://kubit-software.com,1,,,Acquired,,"March 3, 2015",,,,
Shelf Engine,https://shelfengine.com,17,9,58.22M,Series B,41M,"March 18, 2021",,,,
Vivet Therapeutics,https://vivet-therapeutics.com,9,4,97.45M,Grant - II,5.29M,"February 1, 2024",$340M,March 2019,,
Phytech,https://phytech.com,5,3,34.5M,Series C,23.5M,"September 22, 2020",,,,
Flexe,https://flexe.com,14,8,262.55M,Series D,119M,"April 21, 2022",,,,
Whispli,https://whispli.com,6,2,2.12M,Seed VC,2M,"December 10, 2018",,,,
ESGgo,https://esggo.com,3,3,7M,Incubator/Accelerator - II,,"April 19, 2023",,,,
Arist,https://arist.co,13,5,16.13M,Grant,0.1M,"February 9, 2023",,,,
Pivotal Commware,https://pivotalcommware.com,12,6,193.75M,Series D,102M,"August 17, 2023",,,,
Hepster,https://hepster.com,9,6,32.2M,Series B,11.24M,"July 10, 2023",,,,
Largo,https://largo-france.fr,3,2,3.4M,IPO,,"April 23, 2021",,,2020,11.3T
Brave Care,https://bravecare.com,24,10,42M,Series B,25M,"October 7, 2021",,,,
ThisThat,https://thisthat.tt,10,,,Unattributed VC,,"March 7, 2024",,,,
BeeWise,https://beewise.in,8,,,Series A,,"May 5, 2022",,,,
Caraway,https://carawayhome.com,18,4,42.1M,Debt,,"March 1, 2023",,,,
Snapdocs,https://snapdocs.com,14,6,250M,Secondary Market,,"November 1, 2021","$1,500M",May 2021,,
Scaler,https://scaler.com,5,3,76.5M,Series B,55M,"February 1, 2022",$110M,January 2020,,
Krave Mart,https://kravemart.com,20,6,12.5M,Seed VC - V,6M,"November 11, 2023",,,,
Goodbill,https://goodbill.com,9,2,5.4M,Seed VC - II,2M,"March 26, 2024",,,,
Alcove,https://alcove.com,1,1,550K,Growth Equity,0.55M,"May 10, 2000",,,,
Scale,https://scale.com,35,8,1.603B,Series F,"1,000M","May 21, 2024","$7,300M",April 2021,,
Fave Group,https://myfave.com,13,8,35.3M,Acquired,,"April 13, 2021",,,,
API3,https://api3.org,11,3,7M,Series A - II,4M,"May 29, 2024",,,,
InterPrice,https://interpricetech.com,7,2,9.8M,Series A,7.3M,"November 2, 2022",,,,
Bayes Holding,https://bayesholding.com,4,2,6M,Private Equity,6M,"September 17, 2020",,,,
Atmosic,https://atmosic.com,5,3,100.5M,Series C,72M,"January 19, 2022",,,,
ShiraTronics,https://shiratronics.com,13,5,107M,Series B,66M,"September 30, 2024",,,,
Mixlab,https://mixlab.com,14,8,49.84M,Series A - II,10M,"August 14, 2023",,,,
Certa,https://getcerta.com,18,5,50.62M,Series B,35M,"July 12, 2023",,,,
i2x,https://i2x.ai,13,5,28.75M,Acquired,,"March 1, 2023",,,,
PredictionStrike,https://predictionstrike.com,10,4,14.7M,Series A,10M,"June 21, 2023",,,,
NeueHouse,https://neuehouse.com,5,5,74.04M,Merger,,"March 10, 2021",,,,
Qapita,https://qapita.com,17,6,39M,Series A - III,17.2M,"February 27, 2024",,,,
SHIFT EV,https://shiftev.com,4,3,17.58M,Series B,6.25M,"August 14, 2023",,,,
Animaj,https://animaj.com,4,3,106.5M,Debt,106.5M,"September 22, 2023",,,,
Chptr,https://chptr.com,12,3,3.9M,Seed VC,1.5M,"November 10, 2023",,,,
Battleface,https://battleface.com,6,4,17.18M,Series B,5.18M,"February 11, 2022",,,,
EchoPixel,https://echopixeltech.com,7,5,12.6M,Incubator/Accelerator,,"June 6, 2023",,,,
ZenHub,https://zenhub.com,7,2,10.99M,Series A,7.26M,"March 9, 2023",,,,
Aleph,https://getaleph.com,6,4,16.83M,Series A,16.7M,"October 24, 2023",,,,
SimScale,https://simscale.com,13,8,60.2M,Series C - II,29.2M,"June 7, 2021",,,,
Anthropic,https://anthropic.com,41,13,7.454B,Corporate Minority - V,50M,"July 23, 2024","$18,400M",March 2024,2024,850M
Ceros,https://ceros.com,11,8,139.4M,Series D,100M,"July 23, 2020",,,2018,14.6M
Stylitics,https://stylitics.com,9,9,97.35M,Series C,80M,"March 25, 2022",,,,
Keenon Robotics,https://keenonrobot.com,13,7,228.79M,Series D,200M,"September 15, 2021",,,,
Talewind,https://talewind.co.uk,15,2,4.2M,Seed VC,3.4M,"December 1, 2021",,,,
Bondaval,https://bondaval.com,19,5,42.73M,Series B,19.09M,"May 30, 2024",,,,
Elements,https://elements.green,5,2,56.76M,Series A,53.86M,"December 7, 2023",,,,
DigitalGenius,https://digitalgenius.com,16,4,21.85M,Series A,14.75M,"December 19, 2017",,,,
Flow Neuroscience,https://flowneuroscience.com,8,8,11.9M,Incubator/Accelerator,,"June 6, 2023",,,,
Geneoscopy,https://geneoscopy.com,13,7,113.2M,Debt,54.5M,"November 16, 2021",,,,
Ember,https://,15,13,107.88M,Acquired,,"July 10, 2012",,,,
Elidah,https://elidah.com,2,4,1.85M,Series A,,"December 1, 2023",,,,
Narmi,https://narmi.com,7,6,57.69M,Series B,35M,"May 19, 2022",,,,
Ostrom,https://ostrom.de,27,4,22.8M,Series A - II,8.03M,"September 8, 2023",,,,
Packhelp,https://packhelp.com,15,7,68.06M,Series B,46.26M,"November 18, 2021",,,,
SentiLink,https://sentilink.com,10,3,84M,Series B,70M,"July 21, 2021",,,,
Niio,https://niio.com,5,2,23M,Series A,15M,"September 21, 2021",,,,
Wrk,https://wrk.com,11,4,52.6M,Seed,9.6M,"February 2, 2022",,,,
NeoSensory,https://neosensory.com,5,2,14.2M,Series A,10M,"January 4, 2019",,,,
AgomAb Therapeutics,https://agomab.com,15,4,238.09M,Series C,100M,"October 11, 2023",,,,
VALFIX Medical,https://valfixmed.com,,1,1.13M,Unattributed,1.13M,"October 10, 2019",,,,
Seoul Robotics,https://seoulrobotics.org,13,9,47.75M,Series B,25M,"September 22, 2022",,,,
Lantum,https://lantum.com,9,5,31.75M,Series C,15M,"March 28, 2022",,,,
Instabug,https://instabug.com,13,10,54.14M,Incubator/Accelerator,,"April 11, 2023",,,,
Carrick Therapeutics,https://carricktherapeutics.com,9,3,155M,Series C - II,35M,"December 1, 2022",,,,
ECFX,https://goecfx.com,6,4,7.6M,Seed VC - II,7M,"June 21, 2023",,,,
Noogata,https://noogata.com,4,2,28M,Series A,16M,"April 12, 2022",,,,
Canoe,https://canoecorporation.jp,1,,,Other Investors,,,,,,
StackHawk,https://stackhawk.com,6,7,35.33M,Option/Warrant - III,0.02M,"November 17, 2023",,,,
Spendesk,https://spendesk.com,14,6,300.34M,Series C - II,114M,"January 18, 2022",,,,
Zip,https://zip-covette.com,1,,,Acquired,,"December 21, 2022",,,,
The Expert,https://theexpert.com,9,3,15M,Series A,12M,"March 21, 2022",,,,
Prewave,https://prewave.com,17,9,97.92M,Series B,67M,"June 25, 2024",,,,
ixLayer,https://ixlayer.com,13,7,75M,Series A - III,,"August 24, 2021",,,,
HDT Bio,https://hdt.bio,4,4,5.8M,Biz Plan Competition,1M,"October 4, 2023",,,,
Loora,https://loora.ai,6,3,21.25M,Series A,12M,"February 21, 2024",,,,
Amplify,https://getamplifylife.com,13,8,44.59M,Series B,20M,"February 27, 2024",,,,
OrthoFX,https://orthofx.com,4,2,17M,Series A,13M,"July 23, 2020",,,,
Momenta,https://momenta.cn,27,10,1.283B,Series C - II,500M,"November 4, 2021","$1,000M",October 2018,,
Tiny Health,https://tinyhealth.com,6,3,13M,Series A,8.5M,"March 5, 2024",,,,
Rook,https://getrook.com,1,1,20K,Seed,0.02M,"December 16, 2015",,,,
AltraTech,https://altratech.com,8,12,28.37M,Grant - IV,11.48M,"October 10, 2024",,,,
Turbine,https://helloturbine.com,3,,,Acquired,,"October 1, 2024",,,,
Authzed,https://authzed.com,4,2,15.9M,Series A,12M,"June 27, 2024",,,,
